iter	Logloss
0	0.6893463135
1	0.6861663692
2	0.6830995418
3	0.6789259477
4	0.6754468177
5	0.6714377916
6	0.6678729097
7	0.6648992113
8	0.6611836961
9	0.657897697
10	0.6542698884
11	0.6509891226
12	0.6476880539
13	0.6448930472
14	0.6416067328
15	0.6382934318
16	0.6351318359
17	0.6326184864
18	0.6300448583
19	0.626801546
20	0.6235299229
21	0.6204162472
22	0.6172757109
23	0.6136113947
24	0.6111058007
25	0.6077872032
26	0.6057711515
27	0.6033276014
28	0.5999261525
29	0.5969742704
30	0.5944338081
31	0.5917302912
32	0.5894601995
33	0.5877162208
34	0.5849910768
35	0.5823863006
36	0.5799725745
37	0.5775652168
38	0.5747193896
39	0.5719345976
40	0.5700403639
41	0.5681900151
42	0.5654377583
43	0.5634140141
44	0.5610353454
45	0.5590262925
46	0.5574250024
47	0.5552477876
48	0.5532763773
49	0.5511179522
50	0.5493454106
51	0.5471448662
52	0.5450395316
53	0.5428761884
54	0.5411370648
55	0.5393104238
56	0.5373400223
57	0.5350707503
58	0.5333347163
59	0.5314018943
60	0.5295168033
61	0.5277192297
62	0.525710965
63	0.5239363111
64	0.5221500554
65	0.5203123171
66	0.5188442577
67	0.5166836573
68	0.5146219868
69	0.5127708183
70	0.5117537443
71	0.5101650333
72	0.5083952029
73	0.5066057946
74	0.505339189
75	0.5041135993
76	0.5032481044
77	0.5021201205
78	0.500880533
79	0.4993244203
80	0.497675872
81	0.496829356
82	0.4950673127
83	0.4933913365
84	0.4919443052
85	0.4905606104
86	0.4896382734
87	0.4887057848
88	0.4876316796
89	0.4862187914
90	0.485235829
91	0.4840467469
92	0.483054768
93	0.4816632231
94	0.4803744229
95	0.4790848031
96	0.4778896048
97	0.4770589781
98	0.4758115406
99	0.4749936821
100	0.474090986
101	0.4730420704
102	0.4716693153
103	0.4707371105
104	0.4694368977
105	0.4683551631
106	0.4673105665
107	0.4665506221
108	0.4651037169
109	0.4639760482
110	0.4630934975
111	0.4621169035
112	0.4612947574
113	0.4605673798
114	0.4595587864
115	0.4586713807
116	0.4575375013
117	0.4566464069
118	0.4558499549
119	0.4551335485
120	0.4538897365
121	0.4528339481
122	0.4518975502
123	0.4507451649
124	0.4498821921
125	0.4491995819
126	0.4482309326
127	0.4472327114
128	0.446543796
129	0.4454712986
130	0.4447363231
131	0.4440768534
132	0.4432282881
133	0.4424941638
134	0.4418342527
135	0.440684358
136	0.4400979665
137	0.4391678109
138	0.4383913466
139	0.4375302023
140	0.436944063
141	0.4361357255
142	0.4352661322
143	0.4345042962
144	0.4336743
145	0.4327112623
146	0.4317918888
147	0.4311052433
148	0.4302209901
149	0.4294406481
150	0.428658982
151	0.4277434231
152	0.4269825959
153	0.4261599454
154	0.4254904503
155	0.4249831271
156	0.4238201173
157	0.4233105872
158	0.422474002
159	0.4218055158
160	0.421023156
161	0.4202155752
162	0.4195382615
163	0.4189166865
164	0.4183646273
165	0.4180761605
166	0.4173070419
167	0.4167130841
168	0.4159990421
169	0.4152311215
170	0.4143993598
171	0.413884754
172	0.413325759
173	0.4126217109
174	0.4120862346
175	0.4115592389
176	0.4105636029
177	0.4098809297
178	0.4091056635
179	0.4084455317
180	0.4079748737
181	0.4071784217
182	0.4066636897
183	0.4060850538
184	0.4054926723
185	0.4048815641
186	0.4041568346
187	0.4036686164
188	0.4033097511
189	0.4025869448
190	0.4019205078
191	0.401361765
192	0.4006624774
193	0.4001217677
194	0.3996276855
195	0.3989862489
196	0.3985904977
197	0.397985285
198	0.3974343923
199	0.3968328996
200	0.3961334229
201	0.3957683469
202	0.3951875356
203	0.3946967007
204	0.3938844854
205	0.3934550955
206	0.3928454691
207	0.3921782754
208	0.3916571751
209	0.3911782257
210	0.390858863
211	0.3902783354
212	0.3899640801
213	0.3892620812
214	0.3886741764
215	0.3883201032
216	0.387997777
217	0.3875313751
218	0.3872252535
219	0.3865012807
220	0.3860066311
221	0.3854202712
222	0.3849607105
223	0.3844839049
224	0.3841060292
225	0.3835726651
226	0.3832111201
227	0.3825913737
228	0.3821393478
229	0.3816861555
230	0.3811556603
231	0.3807469833
232	0.3804295437
233	0.3799250894
234	0.3795718043
235	0.379024411
236	0.3785951473
237	0.3780310765
238	0.3774146718
239	0.3770040717
240	0.3767651014
241	0.3763446335
242	0.3759027907
243	0.3755211003
244	0.3751281234
245	0.3749263543
246	0.3745783656
247	0.3742096956
248	0.3738181374
249	0.3733201145
250	0.372791574
251	0.3723077695
252	0.3719395094
253	0.3714832274
254	0.3711876042
255	0.370867674
256	0.3705238784
257	0.3702313132
258	0.3696939768
259	0.3690688078
260	0.3686331126
261	0.3681506007
262	0.3674924866
263	0.3668191453
264	0.3663944213
265	0.3660072453
266	0.365424637
267	0.3650276562
268	0.3645500624
269	0.3641612786
270	0.3636295539
271	0.3633166542
272	0.3627942929
273	0.3623217118
274	0.3616983398
275	0.3613298905
276	0.3608736401
277	0.3604451645
278	0.360121924
279	0.3597451202
280	0.3594181281
281	0.3591574046
282	0.3589019145
283	0.3585548086
284	0.3580911179
285	0.3576691998
286	0.3574561127
287	0.3571719335
288	0.3568158741
289	0.3565065368
290	0.3561276523
291	0.3556344529
292	0.3553837548
293	0.3548404599
294	0.3542954626
295	0.3538094197
296	0.3536736354
297	0.3532560049
298	0.3530301181
299	0.3526837688
300	0.3523229173
301	0.3519073675
302	0.3517118407
303	0.3513928563
304	0.3510825417
305	0.3509515179
306	0.3506699239
307	0.3503726928
308	0.3499551568
309	0.3498543038
310	0.3492737447
311	0.3489981407
312	0.3487533065
313	0.3483944412
314	0.347999825
315	0.3477858867
316	0.3474846201
317	0.3472359712
318	0.3468250558
319	0.3465461416
320	0.3461157113
321	0.3459316916
322	0.3456381175
323	0.3450125072
324	0.3447823958
325	0.3444584933
326	0.3440383722
327	0.3435923364
328	0.3434158199
329	0.343066318
330	0.3427555935
331	0.3422256344
